[2026-04-04T03:19:43.297Z] GET http://localhost:8081/ → 200 (8ms, 1280B)
[2026-04-04T03:19:43.310Z] GET http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app&unstable_transformProfile=hermes-stable → pending (?ms, ?B)
[2026-04-04T03:19:44.013Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Ffredoka%2F400Regular/Fredoka_400Regular.ttf → 200 (7ms, 50004B)
[2026-04-04T03:19:44.013Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Ffredoka%2F600SemiBold/Fredoka_600SemiBold.ttf → 200 (6ms, 49900B)
[2026-04-04T03:19:44.013Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F400Regular/Gaegu_400Regular.ttf → 200 (18ms, 3164924B)
[2026-04-04T03:19:44.013Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F700Bold/Gaegu_700Bold.ttf → 200 (15ms, 2961780B)
[2026-04-04T03:20:00.617Z] POST https://jzaiyttrvwswmzrsqutt.supabase.co/auth/v1/signup → 200 (781ms, 1134B)
[2026-04-04T03:20:01.437Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/auth/v1/user → pending (?ms, ?B)
[2026-04-04T03:20:01.584Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/weddings?select=*&user_id=eq.97bbb224-f725-4c75-a468-e8e1d116b9a2&order=date.asc → 200 (399ms, 2B)
[2026-04-04T03:20:59.557Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/auth/v1/user → 200 (362ms, 318B)
[2026-04-04T03:20:59.920Z] POST https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/weddings?select=* → 201 (361ms, 280B)
[2026-04-04T03:21:00.297Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/auth/v1/user → 200 (125ms, 318B)
[2026-04-04T03:21:00.423Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/weddings?select=*&user_id=eq.97bbb224-f725-4c75-a468-e8e1d116b9a2&order=date.asc → pending (?ms, ?B)
[2026-04-04T03:21:28.335Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/weddings?select=*&id=eq.14bc96d2-bf1f-47e6-a458-e267a76179d3 → pending (?ms, ?B)
[2026-04-04T03:21:28.335Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/memories?select=*&wedding_id=eq.14bc96d2-bf1f-47e6-a458-e267a76179d3 → pending (?ms, ?B)
[2026-04-04T03:21:28.747Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo%2Fvector-icons%2Fbuild%2Fvendor%2Freact-native-vector-icons%2FFonts/Ionicons.ttf → 200 (15ms, 389724B)
[2026-04-04T03:21:28.761Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F700Bold/Gaegu_700Bold.ttf → 200 (9ms, 2961780B)
[2026-04-04T03:21:44.692Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/auth/v1/user → 200 (143ms, 318B)
[2026-04-04T03:21:44.837Z] POST https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/memories?on_conflict=wedding_id&select=* → 201 (216ms, 285B)
[2026-04-04T03:21:45.062Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/rest/v1/memories?select=*&wedding_id=eq.14bc96d2-bf1f-47e6-a458-e267a76179d3 → 200 (134ms, 287B)
[2026-04-04T03:21:54.836Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Ffredoka%2F600SemiBold/Fredoka_600SemiBold.ttf → 200 (2ms, 49900B)
[2026-04-04T03:21:59.103Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/auth/v1/user → 200 (133ms, 318B)
[2026-04-04T03:22:44.119Z] GET http://localhost:8081/privacy → 200 (6ms, 1280B)
[2026-04-04T03:22:44.128Z] GET http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app&unstable_transformProfile=hermes-stable → 200 (124ms, 5794833B)
[2026-04-04T03:22:44.381Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Ffredoka%2F400Regular/Fredoka_400Regular.ttf → 200 (1ms, 50004B)
[2026-04-04T03:22:44.381Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Ffredoka%2F600SemiBold/Fredoka_600SemiBold.ttf → 200 (1ms, 49900B)
[2026-04-04T03:22:44.381Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F400Regular/Gaegu_400Regular.ttf → 200 (9ms, 3164924B)
[2026-04-04T03:22:44.381Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F700Bold/Gaegu_700Bold.ttf → 200 (7ms, 2961780B)
[2026-04-04T03:23:23.789Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo%2Fvector-icons%2Fbuild%2Fvendor%2Freact-native-vector-icons%2FFonts/Ionicons.ttf → 200 (6ms, 389724B)
[2026-04-04T03:23:23.792Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F700Bold/Gaegu_700Bold.ttf → 200 (8ms, 2961780B)
[2026-04-04T03:23:37.773Z] GET http://localhost:8081/settings → 200 (5ms, 1280B)
[2026-04-04T03:23:37.780Z] GET http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app&unstable_transformProfile=hermes-stable → 200 (119ms, 5795031B)
[2026-04-04T03:23:38.110Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Ffredoka%2F400Regular/Fredoka_400Regular.ttf → 200 (2ms, 50004B)
[2026-04-04T03:23:38.110Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Ffredoka%2F600SemiBold/Fredoka_600SemiBold.ttf → 200 (3ms, 49900B)
[2026-04-04T03:23:38.110Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F400Regular/Gaegu_400Regular.ttf → 200 (12ms, 3164924B)
[2026-04-04T03:23:38.110Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F700Bold/Gaegu_700Bold.ttf → 200 (13ms, 2961780B)
[2026-04-04T03:23:38.147Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo%2Fvector-icons%2Fbuild%2Fvendor%2Freact-native-vector-icons%2FFonts/Ionicons.ttf → 200 (8ms, 389724B)
[2026-04-04T03:23:38.149Z] GET http://localhost:8081/assets/?unstable_path=.%2Fnode_modules%2F%40expo-google-fonts%2Fgaegu%2F700Bold/Gaegu_700Bold.ttf → 200 (9ms, 2961780B)
[2026-04-04T03:23:38.156Z] GET https://jzaiyttrvwswmzrsqutt.supabase.co/auth/v1/user → 200 (331ms, 318B)
[2026-04-04T03:23:47.335Z] GET http://localhost:8081/privacy → 200 (5ms, 1280B)
[2026-04-04T03:23:47.342Z] GET http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.routerRoot=app&unstable_transformProfile=hermes-stable → 200 (120ms, 5795031B)
